Encrypt weights (ms), Encrypt input vector (ms), Prediction (ms)
2670.000000, 67.000000, 285639.000000, 
3636.000000, 73.000000, 285306.000000, 
2585.000000, 73.000000, 285732.000000, 
3651.000000, 73.000000, 285354.000000, 
2578.000000, 73.000000, 286366.000000, 
