Encrypt weights (ms), Encrypt input vector (ms), Prediction (ms)
2960.000000, 74.000000, 259633.000000, 
2809.000000, 69.000000, 259812.000000, 
2797.000000, 69.000000, 259106.000000, 
2795.000000, 69.000000, 260081.000000, 
2817.000000, 71.000000, 260015.000000, 
2807.000000, 70.000000, 261318.000000, 
2807.000000, 70.000000, 260961.000000, 
2802.000000, 70.000000, 259675.000000, 
2807.000000, 69.000000, 259439.000000, 
2803.000000, 73.000000, 260559.000000, 
