Encrypt weights (ms), Encrypt input vector (ms), Prediction (ms)
2994.000000, 75.000000, 262095.000000, 
2812.000000, 69.000000, 260576.000000, 
2799.000000, 69.000000, 260318.000000, 
2823.000000, 70.000000, 260855.000000, 
2808.000000, 70.000000, 260544.000000, 
2815.000000, 70.000000, 260474.000000, 
2825.000000, 70.000000, 260486.000000, 
2843.000000, 70.000000, 261163.000000, 
2797.000000, 69.000000, 260314.000000, 
2818.000000, 70.000000, 260931.000000, 
