Encrypt weights (ms), Encrypt input vector (ms), Prediction (ms)
3299.000000, 74.000000, 261759.000000, 
2819.000000, 70.000000, 259326.000000, 
2841.000000, 71.000000, 259126.000000, 
2829.000000, 70.000000, 259355.000000, 
2815.000000, 72.000000, 259041.000000, 
2844.000000, 70.000000, 258977.000000, 
2810.000000, 69.000000, 259593.000000, 
2817.000000, 70.000000, 259116.000000, 
2831.000000, 71.000000, 259632.000000, 
2819.000000, 69.000000, 259054.000000, 
