Encrypt weights (ms), Encrypt input vector (ms), Prediction (ms)
2662.000000, 67.000000, 290074.000000, 
3628.000000, 90.000000, 284351.000000, 
2579.000000, 91.000000, 289497.000000, 
3632.000000, 90.000000, 284109.000000, 
2586.000000, 90.000000, 289706.000000, 
