Encrypt weights (ms), Encrypt input vector (ms), Prediction (ms)
2661.000000, 66.000000, 287443.000000, 
3652.000000, 91.000000, 286506.000000, 
2590.000000, 91.000000, 287086.000000, 
3659.000000, 91.000000, 286217.000000, 
2583.000000, 90.000000, 286959.000000, 
