Encrypt weights (ms), Encrypt input vector (ms), Prediction (ms)
2664.000000, 66.000000, 286413.000000, 
3646.000000, 90.000000, 286527.000000, 
2600.000000, 91.000000, 286295.000000, 
3649.000000, 90.000000, 286466.000000, 
2580.000000, 91.000000, 285919.000000, 
