Encrypt weights (ms), Encrypt input vector (ms), Prediction (ms)
2662.000000, 67.000000, 290304.000000, 
3652.000000, 89.000000, 286431.000000, 
2591.000000, 90.000000, 287224.000000, 
3661.000000, 90.000000, 286352.000000, 
2584.000000, 89.000000, 287056.000000, 
