Encrypt weights (ms), Encrypt input vector (ms), Prediction (ms)
2662.000000, 66.000000, 286211.000000, 
3660.000000, 91.000000, 285605.000000, 
2582.000000, 91.000000, 285632.000000, 
3658.000000, 91.000000, 285650.000000, 
2586.000000, 91.000000, 285278.000000, 
